"Stkcd","Trddt","Clsprc"
"600519","2021-01-04","1997.000"
"600519","2021-01-05","2059.450"
"600519","2021-01-06","2100.000"
"600519","2021-01-07","2140.000"
"600519","2021-01-08","2090.000"
"600519","2021-01-11","2099.730"
"600519","2021-01-12","2160.900"
"600519","2021-01-13","2164.000"
"600519","2021-01-14","2134.000"
"600519","2021-01-15","2082.000"
"600519","2021-01-18","2063.000"
"600519","2021-01-19","2009.410"
"600519","2021-01-20","2040.630"
"600519","2021-01-21","2070.000"
"600519","2021-01-22","2079.950"
"600519","2021-01-25","2175.000"
"600519","2021-01-26","2141.890"
"600519","2021-01-27","2089.000"
"600519","2021-01-28","2088.000"
"600519","2021-01-29","2116.180"
"600519","2021-02-01","2109.320"
"600519","2021-02-02","2145.000"
"600519","2021-02-03","2189.910"
"600519","2021-02-04","2320.850"
"600519","2021-02-05","2313.000"
"600519","2021-02-08","2368.800"
"600519","2021-02-09","2456.430"
"600519","2021-02-10","2601.000"
"600519","2021-02-18","2471.000"
"600519","2021-02-19","2460.000"
"600519","2021-02-22","2288.020"
"600519","2021-02-23","2307.000"
"600519","2021-02-24","2189.000"
"600519","2021-02-25","2150.000"
"600519","2021-02-26","2122.780"
"600519","2021-03-01","2158.000"
"600519","2021-03-02","2058.000"
"600519","2021-03-03","2140.000"
"600519","2021-03-04","2033.000"
"600519","2021-03-05","2060.110"
"600519","2021-03-08","1960.000"
"600519","2021-03-09","1936.990"
"600519","2021-03-10","1970.010"
"600519","2021-03-11","2048.000"
"600519","2021-03-12","2026.000"
"600519","2021-03-15","1975.450"
"600519","2021-03-16","2010.500"
"600519","2021-03-17","2030.360"
"600519","2021-03-18","2069.700"
"600519","2021-03-19","2010.000"
"600519","2021-03-22","1989.990"
"600519","2021-03-23","1996.000"
"600519","2021-03-24","1989.000"
"600519","2021-03-25","1971.000"
"600519","2021-03-26","2013.000"
"600519","2021-03-29","2034.100"
"600519","2021-03-30","2056.050"
"600519","2021-03-31","2009.000"
"600519","2021-04-01","2044.500"
"600519","2021-04-02","2162.000"
"600519","2021-04-06","2126.030"
"600519","2021-04-07","2061.000"
"600519","2021-04-08","2070.000"
"600519","2021-04-09","2020.000"
"600519","2021-04-12","2008.890"
"600519","2021-04-13","2021.000"
"600519","2021-04-14","2047.000"
"600519","2021-04-15","2015.600"
"600519","2021-04-16","2054.980"
"600519","2021-04-19","2088.000"
"600519","2021-04-20","2094.800"
"600519","2021-04-21","2080.000"
"600519","2021-04-22","2055.500"
"600519","2021-04-23","2108.940"
"600519","2021-04-26","2077.820"
"600519","2021-04-27","2094.440"
"600519","2021-04-28","2042.000"
"600519","2021-04-29","2026.360"
"600519","2021-04-30","2006.780"
"600519","2021-05-06","1959.000"
"600519","2021-05-07","1903.000"
"600519","2021-05-10","1879.030"
"600519","2021-05-11","1959.000"
"600519","2021-05-12","1984.000"
"600519","2021-05-13","1971.500"
"600519","2021-05-14","2009.850"
"600519","2021-05-17","2057.960"
"600519","2021-05-18","2059.310"
"600519","2021-05-19","2049.000"
"600519","2021-05-20","2058.880"
"600519","2021-05-21","2042.100"
"600519","2021-05-24","2071.290"
"600519","2021-05-25","2194.500"
"600519","2021-05-26","2220.000"
"600519","2021-05-27","2245.000"
"600519","2021-05-28","2230.000"
"600519","2021-05-31","2218.000"
"600519","2021-06-01","2240.950"
"600519","2021-06-02","2222.000"
"600519","2021-06-03","2222.220"
"600519","2021-06-04","2251.500"
"600519","2021-06-07","2271.000"
"600519","2021-06-08","2191.000"
"600519","2021-06-09","2199.500"
"600519","2021-06-10","2238.480"
"600519","2021-06-11","2178.810"
"600519","2021-06-15","2193.000"
"600519","2021-06-16","2158.000"
"600519","2021-06-17","2156.910"
"600519","2021-06-18","2090.940"
"600519","2021-06-21","2081.640"
"600519","2021-06-22","2074.970"
"600519","2021-06-23","2038.000"
"600519","2021-06-24","2068.050"
"600519","2021-06-25","2092.000"
"600519","2021-06-28","2103.010"
"600519","2021-06-29","2062.000"
"600519","2021-06-30","2056.700"
"600519","2021-07-01","2105.000"
"600519","2021-07-02","2013.000"
"600519","2021-07-05","1994.000"
"600519","2021-07-06","2012.900"
"600519","2021-07-07","2004.000"
"600519","2021-07-08","1985.000"
"600519","2021-07-09","1972.110"
"600519","2021-07-12","1961.000"
"600519","2021-07-13","1982.900"
"600519","2021-07-14","1962.000"
"600519","2021-07-15","1997.990"
"600519","2021-07-16","1955.900"
"600519","2021-07-19","1975.000"
"600519","2021-07-20","1980.000"
"600519","2021-07-21","1969.000"
"600519","2021-07-22","1940.010"
"600519","2021-07-23","1900.000"
"600519","2021-07-26","1804.110"
"600519","2021-07-27","1712.890"
"600519","2021-07-28","1768.900"
"600519","2021-07-29","1749.790"
"600519","2021-07-30","1678.990"
"600519","2021-08-02","1755.000"
"600519","2021-08-03","1749.300"
"600519","2021-08-04","1724.000"
"600519","2021-08-05","1699.000"
"600519","2021-08-06","1671.000"
"600519","2021-08-09","1693.800"
"600519","2021-08-10","1799.000"
"600519","2021-08-11","1750.500"
"600519","2021-08-12","1690.000"
"600519","2021-08-13","1700.040"
"600519","2021-08-16","1699.200"
"600519","2021-08-17","1635.000"
"600519","2021-08-18","1620.000"
"600519","2021-08-19","1619.970"
"600519","2021-08-20","1548.000"
"600519","2021-08-23","1570.190"
"600519","2021-08-24","1625.180"
"600519","2021-08-25","1665.020"
"600519","2021-08-26","1595.000"
"600519","2021-08-27","1596.030"
"600519","2021-08-30","1586.000"
"600519","2021-08-31","1558.000"
"600519","2021-09-01","1622.010"
"600519","2021-09-02","1618.800"
"600519","2021-09-03","1658.220"
"600519","2021-09-06","1670.670"
"600519","2021-09-07","1669.000"
"600519","2021-09-08","1633.100"
"600519","2021-09-09","1634.080"
"600519","2021-09-10","1662.580"
"600519","2021-09-13","1654.000"
"600519","2021-09-14","1657.000"
"600519","2021-09-15","1615.740"
"600519","2021-09-16","1638.070"
"600519","2021-09-17","1686.000"
"600519","2021-09-22","1637.690"
"600519","2021-09-23","1635.000"
"600519","2021-09-24","1694.000"
"600519","2021-09-27","1855.000"
"600519","2021-09-28","1822.060"
"600519","2021-09-29","1820.000"
"600519","2021-09-30","1830.000"
"600519","2021-10-08","1839.600"
"600519","2021-10-11","1867.120"
"600519","2021-10-12","1870.990"
"600519","2021-10-13","1929.900"
"600519","2021-10-14","1911.000"
"600519","2021-10-15","1916.970"
"600519","2021-10-18","1800.000"
"600519","2021-10-19","1812.180"
"600519","2021-10-20","1841.000"
"600519","2021-10-21","1844.000"
"600519","2021-10-22","1901.000"
"600519","2021-10-25","1873.030"
"600519","2021-10-26","1861.050"
"600519","2021-10-27","1819.000"
"600519","2021-10-28","1825.490"
"600519","2021-10-29","1826.080"
"600519","2021-11-01","1803.000"
"600519","2021-11-02","1804.640"
"600519","2021-11-03","1765.000"
"600519","2021-11-04","1804.200"
"600519","2021-11-05","1819.940"
"600519","2021-11-08","1820.100"
"600519","2021-11-09","1790.010"
"600519","2021-11-10","1753.990"
"600519","2021-11-11","1769.600"
"600519","2021-11-12","1773.780"
"600519","2021-11-15","1761.140"
"600519","2021-11-16","1808.000"
"600519","2021-11-17","1795.000"
"600519","2021-11-18","1792.000"
"600519","2021-11-19","1828.410"
"600519","2021-11-22","1854.270"
"600519","2021-11-23","1896.430"
"600519","2021-11-24","1941.000"
"600519","2021-11-25","1956.030"
"600519","2021-11-26","1941.010"
"600519","2021-11-29","1985.000"
"600519","2021-11-30","1930.770"
"600519","2021-12-01","1932.990"
"600519","2021-12-02","1934.000"
"600519","2021-12-03","1971.880"
"600519","2021-12-06","1967.300"
"600519","2021-12-07","1955.870"
"600519","2021-12-08","2043.000"
"600519","2021-12-09","2086.550"
"600519","2021-12-10","2090.000"
"600519","2021-12-13","2118.200"
"600519","2021-12-14","2150.000"
"600519","2021-12-15","2135.000"
"600519","2021-12-16","2118.990"
"600519","2021-12-17","2050.700"
"600519","2021-12-20","2058.960"
"600519","2021-12-21","2038.200"
"600519","2021-12-22","2048.000"
"600519","2021-12-23","2120.000"
"600519","2021-12-24","2194.090"
"600519","2021-12-27","2131.820"
"600519","2021-12-28","2138.180"
"600519","2021-12-29","2041.000"
"600519","2021-12-30","2075.000"
"600519","2021-12-31","2050.000"
"600519","2022-01-04","2051.230"
"600519","2022-01-05","2024.000"
"600519","2022-01-06","1982.220"
"600519","2022-01-07","1942.000"
"600519","2022-01-10","1966.000"
"600519","2022-01-11","1940.550"
"600519","2022-01-12","1967.000"
