"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dnshrtrd","Dnvaltrd"
"600340","2019-12-02","27.930","28.200","27.850","27.910","9395496","262888297.000"
"600340","2019-12-03","27.740","28.060","27.630","27.760","7095063","197228947.000"
"600340","2019-12-04","27.690","27.750","26.940","27.060","13197223","358869261.000"
"600340","2019-12-05","27.220","27.220","26.460","26.660","22132519","590813872.000"
"600340","2019-12-06","26.740","26.870","26.520","26.870","9399169","250960360.000"
"600340","2019-12-09","26.870","27.530","26.820","27.480","12444671","339441485.000"
"600340","2019-12-10","27.510","27.510","27.080","27.150","8321251","226175622.000"
"600340","2019-12-11","27.390","27.640","27.110","27.430","10011268","274175668.000"
"600340","2019-12-12","27.420","27.460","27.050","27.160","8679017","236056773.000"
"600340","2019-12-13","27.400","27.540","27.160","27.500","16665312","455453342.000"
"600340","2019-12-16","27.420","27.690","27.130","27.640","16614378","454044926.000"
"600340","2019-12-17","27.530","28.350","27.500","28.130","20866963","583148070.000"
"600340","2019-12-18","28.000","28.260","27.860","27.930","11375631","319062216.000"
"600340","2019-12-19","27.900","28.210","27.850","27.990","8573297","240239636.000"
"600340","2019-12-20","28.050","28.800","28.010","28.300","16064931","456544904.000"
"600340","2019-12-23","28.400","28.400","27.600","27.610","9884717","277000183.000"
"600340","2019-12-24","27.610","27.760","27.420","27.600","6134602","169381565.000"
"600340","2019-12-25","27.580","27.750","27.440","27.540","6212691","171263606.000"
"600340","2019-12-26","27.750","28.350","27.750","28.050","13085803","367457407.000"
"600340","2019-12-27","28.080","28.280","27.970","28.030","9373203","263342314.000"
"600340","2019-12-30","28.140","28.490","27.910","28.440","12622737","356482560.000"
"600340","2019-12-31","28.490","28.870","28.350","28.700","13489702","385953135.000"
"600340","2020-01-02","29.080","29.450","28.800","28.800","20918618","609003217.000"
"600340","2020-01-03","28.890","29.050","28.420","28.580","11879976","339506573.000"
"600340","2020-01-06","28.270","28.380","27.960","27.990","19495087","548243618.000"
"600340","2020-01-07","27.950","28.250","27.950","28.160","9829182","276258012.000"
"600340","2020-01-08","28.060","28.060","27.510","27.610","15295509","424391187.000"
"600340","2020-01-09","27.890","27.970","27.700","27.850","11591842","322441558.000"
"600340","2020-01-10","27.900","27.960","27.450","27.630","15044824","415347728.000"
"600340","2020-01-13","27.620","27.770","27.350","27.760","14161080","389993454.000"
"600340","2020-01-14","27.860","28.120","27.750","27.780","13823412","385588943.000"
"600340","2020-01-15","27.800","27.860","27.430","27.500","9458122","260693342.000"
"600340","2020-01-16","27.530","27.580","27.270","27.300","8942934","244845973.000"
"600340","2020-01-17","27.340","27.500","27.190","27.440","7834674","214489794.000"
"600340","2020-01-20","27.480","27.510","27.080","27.270","10824426","294743808.000"
"600340","2020-01-21","27.250","27.250","26.910","26.980","9649819","260751748.000"
"600340","2020-01-22","27.010","27.280","26.840","27.270","9015727","244488118.000"
"600340","2020-01-23","27.090","27.100","26.280","26.400","13924814","371158046.000"
"600340","2020-02-03","23.760","23.940","23.760","23.760","16456903","391088796.000"
"600340","2020-02-04","23.000","23.880","22.880","23.240","26951516","627173589.000"
"600340","2020-02-05","23.280","23.750","23.010","23.510","15681587","368569192.000"
"600340","2020-02-06","23.580","23.650","23.170","23.560","15753324","368588849.000"
"600340","2020-02-07","23.450","23.600","23.210","23.580","11097101","259150270.000"
"600340","2020-02-10","23.460","24.100","23.310","23.880","15017057","357151165.000"
"600340","2020-02-11","23.890","24.630","23.810","24.450","17569553","427570767.000"
"600340","2020-02-12","24.500","24.500","24.200","24.470","8313193","202508811.000"
"600340","2020-02-13","24.390","25.150","24.390","24.700","13327731","332108902.000"
"600340","2020-02-14","24.950","25.180","24.810","24.980","11727371","292789392.000"
"600340","2020-02-17","24.830","25.100","24.830","25.060","16523479","412893639.000"
"600340","2020-02-18","25.100","25.110","24.520","24.690","12598621","311950647.000"
"600340","2020-02-19","24.610","25.080","24.610","24.750","11462051","284848818.000"
"600340","2020-02-20","24.720","24.910","24.560","24.890","12928235","319810523.000"
"600340","2020-02-21","24.980","24.980","24.690","24.780","12506997","310111982.000"
"600340","2020-02-24","24.650","24.650","24.020","24.300","15496173","376167236.000"
"600340","2020-02-25","24.000","24.380","23.740","24.060","14346642","345228842.000"
"600340","2020-02-26","23.810","24.950","23.720","24.680","22741775","560309090.000"
"600340","2020-02-27","24.680","24.840","24.210","24.210","12639778","308551573.000"
"600340","2020-02-28","23.890","24.390","23.380","23.590","18010243","428231374.000"
"600340","2020-03-02","23.610","24.480","23.610","24.310","16738672","405984972.000"
"600340","2020-03-03","24.570","24.700","24.120","24.270","14626210","355065842.000"
"600340","2020-03-04","24.260","26.080","24.160","25.970","39336870","992528849.000"
"600340","2020-03-05","26.000","26.700","25.510","26.180","32291025","845798150.000"
"600340","2020-03-06","25.910","25.910","25.340","25.450","14003802","357617480.000"
"600340","2020-03-09","25.060","25.060","24.300","24.420","16181494","398397207.000"
"600340","2020-03-10","24.100","24.880","24.050","24.720","13529361","331700224.000"
"600340","2020-03-11","24.720","25.050","24.570","24.740","12960200","321563611.000"
"600340","2020-03-12","24.650","24.650","23.850","23.950","14003195","337913566.000"
"600340","2020-03-13","22.880","23.750","22.180","23.450","18069657","415077301.000"
"600340","2020-03-16","23.560","23.640","22.510","22.580","12255105","283006908.000"
"600340","2020-03-17","22.420","23.150","22.080","22.400","10678885","240543448.000"
"600340","2020-03-18","22.420","22.720","21.920","21.920","11038453","246222514.000"
"600340","2020-03-19","21.980","22.000","20.640","21.230","17961450","380904702.000"
"600340","2020-03-20","21.280","21.750","21.090","21.580","12620492","270758760.000"
"600340","2020-03-23","20.880","21.100","20.180","20.200","16341826","335652962.000"
"600340","2020-03-24","20.500","20.690","20.140","20.530","13605500","277857441.000"
"600340","2020-03-25","21.100","21.750","20.780","21.620","20170324","428269807.000"
"600340","2020-03-26","21.440","21.670","21.200","21.400","8617740","184596020.000"
"600340","2020-03-27","21.690","22.080","21.490","21.780","13338395","290961211.000"
"600340","2020-03-30","21.420","21.590","21.100","21.190","10537466","225179030.000"
"600340","2020-03-31","21.470","21.550","20.860","20.890","8488675","179388162.000"
"600340","2020-04-01","20.930","21.450","20.930","21.150","10580905","224794091.000"
"600340","2020-04-02","21.030","21.340","20.950","21.340","7051574","148920844.000"
"600340","2020-04-03","21.240","21.530","21.130","21.350","8952149","191357470.000"
"600340","2020-04-07","21.660","21.820","21.520","21.630","8135833","176040752.000"
"600340","2020-04-08","21.550","21.620","21.310","21.590","6947889","149270128.000"
"600340","2020-04-09","21.880","21.890","21.520","21.580","6622404","143332076.000"
"600340","2020-04-10","21.660","21.800","21.290","21.370","9501917","204979643.000"
"600340","2020-04-13","21.230","21.250","20.700","20.840","10269416","214876652.000"
"600340","2020-04-14","20.960","21.450","20.900","21.430","10657054","226456234.000"
